SourcePath	DeclaredTypes	PublicTypeDeclarations	Disposition	FinalOwners	MigrationStatus	DestinationPaths	Rationale
XRENGINE/Core/Editor/EditorState.cs	XREngine.Editor.EditorState;XREngine.Editor.EngineEditorState;XREngine.Editor.GlobalChange;XREngine.Editor.LocalValueChange;XREngine.Editor.LocalValueChangeField;XREngine.Editor.LocalValueChangeIDictionary;XREngine.Editor.LocalValueChangeIList;XREngine.Editor.LocalValueChangeProperty	8	Move	XREngine.Editor	Pending		Editor state and authoring change tracking are application concerns.
XRENGINE/Core/Editor/StateChange.cs	XREngine.Editor.EStateChangeType;XREngine.Editor.StateChange	2	Move	XREngine.Editor	Pending		Editor state and authoring change tracking are application concerns.
XRENGINE/Core/Engine/AnimationClipSerialization.cs	XREngine.AnimationClipCookedBinarySerializer;XREngine.AnimationClipMemoryPackRegistration;XREngine.AnimationClipSerialization;XREngine.AnimationClipSerializedModel;XREngine.AnimationClipYamlEnvelope;XREngine.AnimationClipYamlTypeConverter;XREngine.AnimationMemberSerializedModel;XREngine.SerializedMethodArgumentModel	1	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/AnimationClipSerialization.cs	Serialization that directly requires animation domain types belongs with Animation.
XRENGINE/Core/Engine/AnimationCurveYamlModel.cs	XREngine.AnimationCurveYamlModel	0	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/AnimationCurveYamlModel.cs	Serialization that directly requires animation domain types belongs with Animation.
XRENGINE/Core/Engine/AnimationCurveYamlTypeConverter.cs	XREngine.AnimationCurveYamlTypeConverter	1	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/AnimationCurveYamlTypeConverter.cs	Serialization that directly requires animation domain types belongs with Animation.
XRENGINE/Core/Engine/AnimationPropertySerialization.cs	XREngine.AnimationPropertySerialization;XREngine.SerializedKeyframeModel;XREngine.SerializedPropertyAnimationModel	0	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/AnimationPropertySerialization.cs	Serialization that directly requires animation domain types belongs with Animation.
XRENGINE/Core/Engine/AnimStateMachineSerialization.cs	XREngine.AnimLayerSerializedModel;XREngine.AnimStateComponentKind;XREngine.AnimStateComponentSerializedModel;XREngine.AnimStateMachineCookedBinarySerializer;XREngine.AnimStateMachineMemoryPackRegistration;XREngine.AnimStateMachineSerialization;XREngine.AnimStateMachineSerializedModel;XREngine.AnimStateMachineYamlTypeConverter;XREngine.AnimStateSerializedModel;XREngine.AnimStateTransitionSerializedModel;XREngine.AnimVarKind;XREngine.AnimVarSerializedModel	1	Move	XREngine.Animation	Migrated	XREngine.Animation/Serialization/AnimStateMachineSerialization.cs	Serialization that directly requires animation domain types belongs with Animation.
XRENGINE/Core/Engine/AssetManager.cs	XREngine.AssetManager;XREngine.RemoteAssetLoadMode	2	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/AssetManager.cs	Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/AssetManager.FileWatching.cs	XREngine.AssetManager	1	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/AssetManager.FileWatching.cs	Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
XRENGINE/Core/Engine/AssetManager.Metadata.cs	XREngine.AssetManager	1	Refactor	XREngine.Runtime.Core	Migrated	XREngine.Runtime.Core/Assets/AssetManager.Metadata.cs	Runtime asset loading, saving, watching, publication, and cache coordination belong behind focused Runtime.Core services.
